Original: get|permission , predicted 1st: get|permission
Original: resolve , predicted 1st: get|file
Original: filter , predicted 1st: is
Original: create , predicted 1st: dispose|resources
Original: resize , predicted 1st: set|width
Original: render , predicted 1st: dispose|resources
Original: pause , predicted 1st: dispose|resources
Original: resume , predicted 1st: dispose|resources
Original: dispose , predicted 1st: dispose|resources
Original: get|annotation , predicted 1st: get|annotation
Original: get|annotation|type , predicted 1st: get|annotation|type
Original: act , predicted 1st: add
Original: get|action , predicted 1st: get|action
Original: set|action , predicted 1st: set|action
Original: restart , predicted 1st: restart
Original: reset , predicted 1st: reset
Original: dispose , predicted 1st: stop
Original: read , predicted 1st: read
Original: act , predicted 1st: add|listener
Original: get|listener , predicted 1st: get|listener|listener
Original: set|listener , predicted 1st: set|listener|listener
Original: get|capture , predicted 1st: is
Original: set|capture , predicted 1st: set
Original: reset , predicted 1st: reset
Original: begin , predicted 1st: reset
Original: update , predicted 1st: set
Original: reset , predicted 1st: reset
Original: get|color , predicted 1st: get|color
Original: set|color , predicted 1st: set|color
Original: get|alpha , predicted 1st: get|end
Original: set|alpha , predicted 1st: set|end
Original: on|generic|motion , predicted 1st: on
Original: add|generic|motion|listener , predicted 1st: add|generic|listener|listener
Original: resolve , predicted 1st: resolve
Original: to|string , predicted 1st: to|string
Original: is|attached , predicted 1st: is
Original: set|attached , predicted 1st: set
Original: get|device|id , predicted 1st: get|id
Original: get|slider|x , predicted 1st: is
Original: get|slider|y , predicted 1st: is
Original: get|accelerometer , predicted 1st: get
Original: set|accelerometer|sensitivity , predicted 1st: set|float
Original: add|listener , predicted 1st: add|listener|listener
Original: remove|listener , predicted 1st: remove|listener|listener
Original: get|listeners , predicted 1st: get|listeners
Original: get|button , predicted 1st: contains
Original: get|axis , predicted 1st: get
Original: get|pov , predicted 1st: get
Original: get|name , predicted 1st: get|name
Original: new|android|input , predicted 1st: get|input
Original: create|listener , predicted 1st: set|ui
Original: on|system|ui|visibility|change , predicted 1st: post|post|post
Original: run , predicted 1st: use|mode
Original: new|instance , predicted 1st: new|instance
Original: get|length , predicted 1st: get|length
Original: get , predicted 1st: get
Original: set , predicted 1st: set|array
Original: set|target , predicted 1st: set|target
Original: restart , predicted 1st: restart
Original: delegate , predicted 1st: get|actions
Original: is|done , predicted 1st: is|done
Original: get , predicted 1st: get
Original: create , predicted 1st: init
Original: render , predicted 1st: run
Original: dispose , predicted 1st: dispose
Original: create , predicted 1st: 
Original: render , predicted 1st: run
Original: dispose , predicted 1st: dispose|resources
Original: new|thread , predicted 1st: create
Original: submit , predicted 1st: execute
Original: call , predicted 1st: call
Original: dispose , predicted 1st: shutdown
Original: restart , predicted 1st: foo
Original: set|actor , predicted 1st: set
Original: get|actor , predicted 1st: get
Original: set|target , predicted 1st: set|target
Original: get|target , predicted 1st: get|target
Original: reset , predicted 1st: clear
Original: get|pool , predicted 1st: get|pool
Original: set|pool , predicted 1st: set|pool
Original: to|string , predicted 1st: get|name
Original: did|finish|playing , predicted 1st: set
Original: create , predicted 1st: test
Original: render , predicted 1st: run
Original: dispose , predicted 1st: dispose
Original: get|id , predicted 1st: get|id
Original: set|id , predicted 1st: set|id
Original: get|blend|mode , predicted 1st: get|mode
Original: set|blend|mode , predicted 1st: set|mode
Original: get|current|frame|index , predicted 1st: get|current
Original: get|current|frame , predicted 1st: get|current|frame
Original: get|texture|region , predicted 1st: get|region
Original: set|texture|region , predicted 1st: set|region
Original: get|offset|x , predicted 1st: get|x|offset
Original: set|offset|x , predicted 1st: set|float
Original: get|offset|y , predicted 1st: get|offset
Original: set|offset|y , predicted 1st: set
Original: get|animation|intervals , predicted 1st: get
Original: set|animation|intervals , predicted 1st: 
Original: get|properties , predicted 1st: get|properties|properties
Original: update|animation|base|time , predicted 1st: set|last|time|map
Original: get|frame|tiles , predicted 1st: get
Original: create , predicted 1st: init
Original: render , predicted 1st: run
Original: needs|gl , predicted 1st: is
Original: dispose , predicted 1st: dispose
Original: get|file|handle , predicted 1st: handle|handle
Original: get|zip|file|handle|if|exists , predicted 1st: handle|handle
Original: classpath , predicted 1st: get|file
Original: internal , predicted 1st: handle|handle
Original: external , predicted 1st: create|file
Original: absolute , predicted 1st: create|file
Original: local , predicted 1st: create|file
Original: get|external|storage|path , predicted 1st: get
Original: is|external|storage|available , predicted 1st: is
Original: get|local|storage|path , predicted 1st: get
Original: is|local|storage|available , predicted 1st: is
Original: set|apk|expansion , predicted 1st: is
Original: get|expansion|file , predicted 1st: get|file
Original: as|char|buffer , predicted 1st: get|char|buffer
Original: as|double|buffer , predicted 1st: to|double|buffer
Original: as|float|buffer , predicted 1st: get|buffer
Original: as|int|buffer , predicted 1st: get|buffer
Original: as|long|buffer , predicted 1st: get|buffer|buffer
Original: as|short|buffer , predicted 1st: to|byte|buffer
Original: get|char , predicted 1st: get|char|char
Original: get|char , predicted 1st: get|short
Original: put|char , predicted 1st: put|short
Original: put|char , predicted 1st: put|short
Original: next , predicted 1st: get|next
Original: put , predicted 1st: process
Original: poll , predicted 1st: read
Original: reset , predicted 1st: all|result
Original: get|c|ptr , predicted 1st: get
Original: finalize , predicted 1st: run
Original: delete , predicted 1st: delete
Original: swig|director|disconnect , predicted 1st: delete
Original: swig|release|ownership , predicted 1st: result
Original: swig|take|ownership , predicted 1st: result
Original: set|collision|objects , predicted 1st: result
Original: get|collision|objects , predicted 1st: get|all|result|array
Original: set|hit|normal|world , predicted 1st: result
Original: get|hit|normal|world , predicted 1st: result
Original: set|hit|point|world , predicted 1st: result
Original: get|hit|point|world , predicted 1st: result
Original: set|hit|fractions , predicted 1st: result
Original: get|hit|fractions , predicted 1st: result
Original: add|single|result , predicted 1st: get|result
Original: get|ray|from|world , predicted 1st: result|result
Original: set|ray|from|world , predicted 1st: result|result
Original: get|ray|to|world , predicted 1st: result|result
Original: set|ray|to|world , predicted 1st: result|result
